,Harga Asli,Harga Prediksi,Selisih (Error),% Error
72,11500000000,14214479688.377415,-2714479688.3774147,23.60417120328187
73,18500000000,17177707811.428417,1322292188.5715828,7.1475253436301776
74,18000000000,19680945320.343765,-1680945320.3437653,9.338585113020919
75,7700000000,14524701092.48247,-6824701092.48247,88.63248172055155
76,33500000000,30782219822.60337,2717780177.3966293,8.112776648945163
77,20900000000,22878148056.6049,-1978148056.6049004,9.46482323734402
78,3600000000,2968314036.58561,631685963.4143901,17.54683231706639
79,15000000000,14923332276.407558,76667723.59244156,0.5111181572829437
80,1300000000,1348552931.2210388,-48552931.22103882,3.7348408631568324
81,6500000000,6785410822.759717,-285410822.759717,4.390935734764876
82,34500000000,32101616845.81617,2398383154.1838303,6.951835229518348
83,11000000000,15753668029.89268,-4753668029.892679,43.215163908115265
84,1200000000,1601411173.1438766,-401411173.14387655,33.45093109532304
85,15000000000,17004775233.5767,-2004775233.5767002,13.365168223844668
86,21000000000,18011672498.49485,2988327501.50515,14.230130959548331
87,4700000000,3820571173.304924,879428826.695076,18.71125163181013
88,14000000000,18736311682.075832,-4736311682.075832,33.83079772911309
89,10000000000,15113809760.555164,-5113809760.555164,51.13809760555165
90,15000000000,25603734664.108738,-10603734664.108738,70.69156442739158
91,9500000000,14359411888.98378,-4859411888.98378,51.15170409456611
92,25000000000,31335196316.238556,-6335196316.238556,25.340785264954224
93,13500000000,14310929948.66776,-810929948.6677608,6.00688850865008
94,5250000000,6267629691.469974,-1017629691.4699736,19.383422694666162
95,2700000000,12650333070.873175,-9950333070.873175,368.53085447678427
96,7600000000,10821462324.976498,-3221462324.9764977,42.38766217074339
97,14500000000,12474992577.750723,2025007422.249277,13.965568429305359
98,15000000000,17348768904.67717,-2348768904.67717,15.658459364514465
99,40000000000,44105701789.86927,-4105701789.8692703,10.264254474673177
100,15000000000,22460088913.59153,-7460088913.59153,49.7339260906102
